id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
1,New Tampere Chelsea Boot R17M077 (Black),로맨틱무브,ALL,"['남,여']",검정색,신발,부츠,"['#가죽', '#구두', '#남성부츠', '#뉴탐페레첼시', '#블랙', '#첼시부츠']",https://image.msscdn.net/images/goods_img/20171207/685185/685185_1_500.jpg,https://store.musinsa.com/app/product/detail/685185/0,17,포멀
2,[BA8775] ALPHABOUNCE SLIDE,아디다스,ALL,"['남,여']",검정색,신발,슬리퍼,"['#로고슬라이드', '#블랙', '#슬라이드', '#알파바운스']",https://image.msscdn.net/images/goods_img/20170313/497858/497858_6_500.jpg,https://store.musinsa.com/app/product/detail/497858/0,23,캐주얼
3,제이든 8홀 블랙 15265001,닥터마틴,ALL,"['남,여']",검정색,신발,부츠,"['#닥마', '#부츠', '#블랙', '#워커', '#제이든', '#8홀']",https://image.msscdn.net/images/goods_img/20161216/464309/464309_1_500.jpg,https://store.musinsa.com/app/product/detail/464309/0,17,ALL
4,Max_bl,로스트가든,2020  ALL,['남'],검정색,신발,부츠,"['#부츠', '#앵클부츠', '#첼시부츠']",https://image.msscdn.net/images/goods_img/20200107/1264085/1264085_3_500.jpg,https://store.musinsa.com/app/product/detail/1264085/0,17,포멀
5,보스턴 SFB 타우페 560771,버켄스탁,ALL,"['남,여']",샌드,신발,슬리퍼,"['#버켄스탁샌들', '#버켄스탁슬리퍼', '#스트랩샌들', '#스트랩슬리퍼']",https://image.msscdn.net/images/goods_img/20170517/558537/558537_3_500.jpg,https://store.musinsa.com/app/product/detail/558537/0,23,캐주얼
6,아리조나 에바 블랙 129421,버켄스탁,ALL,"['남,여,아동']",기타,신발,슬리퍼,"['#버켄스탁샌들', '#블랙', '#스트랩샌들', '#스트랩슬리퍼', '#슬라이드', '#EVA', '#EVA샌들']",https://image.msscdn.net/images/goods_img/20160322/324275/324275_2_500.jpg,https://store.musinsa.com/app/product/detail/324275/0,23,캐주얼
7,1461 모노 블랙 14345001,닥터마틴,,"['남,여']",검정색,신발,구두,"['#구두', '#닥마', '#더비', '#더비슈즈', '#모노1461', '#블랙', '#1461']",https://image.msscdn.net/images/goods_img/20161216/464267/464267_1_500.jpg,https://store.musinsa.com/app/product/detail/464267/0,20,ALL
8,Jadon Black Polished Smooth,닥터마틴,2020  S/S,"['남,여']",검정색,신발,부츠,"['#부츠', '#워커', '#제이든', '#8홀']",https://image.msscdn.net/images/goods_img/20200103/1262089/1262089_1_500.jpg,https://store.musinsa.com/app/product/detail/1262089/0,17,ALL
9,Myles Black Brando,닥터마틴,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#가죽슬리퍼', '#닥마마일즈', '#닥마샌들', '#래더', '#래더슬리퍼', '#레더', '#레더슬리퍼']",https://image.msscdn.net/images/goods_img/20200304/1334438/1334438_1_500.jpg,https://store.musinsa.com/app/product/detail/1334438/0,23,ALL
10,Yard_bl_sh,로스트가든,2019  ALL,['남'],검정색,신발,구두,"['#구두', '#더비슈즈', '#레이스업슈즈', '#LOSTGAREN']",https://image.msscdn.net/images/goods_img/20190805/1110317/1110317_3_500.jpg,https://store.musinsa.com/app/product/detail/1110317/0,20,포멀
11,EASY BOOTS IN BLACK,마뗑킴,2020  ALL,['여'],검정색,신발,부츠,[],https://image.msscdn.net/images/goods_img/20200806/1539420/1539420_1_500.jpg,https://store.musinsa.com/app/product/detail/1539420/0,17,포멀
