id,title,brand,season,gender,color,category,detail,hashtag,image,url,style,temperature
1,(1+1세트) K87 포켓 반팔티 7컬러,칼하트,병행수입,['남'],흰색,상의,반팔 티셔츠,"['#칼하트반팔티', '#칼하트K87포켓반팔티', '#칼하트포켓티', '#오버핏반팔', '#포켓티', '#커플반팔티', '#반팔티']",https://image.msscdn.net/images/goods_img/20191111/1220357/1220357_4_500.jpg,https://store.musinsa.com/app/product/detail/1220357/0,캐주얼,23.0
2,마우이x레디 반팔 티셔츠 세트상품,마우이앤선즈,2020  S/S,['남'],기타,상의,반팔 티셔츠,"['#그래픽', '#마우이앤선즈X레디', '#반팔', '#반팔티셔츠', '#세트', '#세트상품', '#오버사이즈']",https://image.msscdn.net/images/goods_img/20200423/1418048/1418048_1_500.jpg,https://store.musinsa.com/app/product/detail/1418048/0,캐주얼,23.0
3,[Mmlg] 1987MMLG HOOD (GREY),엠엠엘지,2020  F/W,['남'],회색,상의,후드 티셔츠,"['#팔엠엠로고', '#팔칠엠엠', '#팔칠엠엠엠엠엘지', '#후드', '#1987', '#87MM']",https://image.msscdn.net/images/goods_img/20170905/624932/624932_1_500.jpg,https://store.musinsa.com/app/product/detail/624932/0,캐주얼,17.0
4,[Package] Eddy Overfit Short Tee package KJST2189,제멋,2019  S/S,['남'],기타,상의,반팔 티셔츠,"['#무지반팔', '#반팔', '#반팔티', '#숏슬리브', '#오버핏', '#오버핏반팔', '#패키지']",https://image.msscdn.net/images/goods_img/20190319/987149/987149_3_500.jpg,https://store.musinsa.com/app/product/detail/987149/0,캐주얼,23.0
5,Floral Corduroy Shirt Black,디스이즈네버댓,2020  F/W,['남'],검정색,상의,셔츠/블라우스,"['#셔츠', '#코튜로이셔츠']",https://image.msscdn.net/images/goods_img/20200813/1548252/1548252_1_500.jpg,https://store.musinsa.com/app/product/detail/1548252/0,ALL,23.0
6,LOOSE-FIT OPEN COLLAR TENCEL LINEN SHIRTS [NAVY],아노블리어,2020  S/S,['남'],파란색,상의,셔츠/블라우스,"['#린넨', '#린넨셔츠', '#반팔셔츠', '#셔츠', '#오버핏셔츠', '#체크셔츠', '#하와이안셔츠']",https://image.msscdn.net/images/goods_img/20190408/1008043/1008043_2_500.jpg,https://store.musinsa.com/app/product/detail/1008043/0,포멀,23.0
7,M/G STRIPE LONG SLEEVE BLACK,마크 곤잘레스,2020  F/W,['남'],검정색,상의,긴팔 티셔츠,"['#긴팔티', '#롱슬리브', '#스트라이프', '#엔젤로고', '#체크']",https://image.msscdn.net/images/goods_img/20200225/1322019/1322019_5_500.jpg,https://store.musinsa.com/app/product/detail/1322019/0,포멀,20.0
8,[패키지] NYC LOCATION T-SHIRT (10 COLORS) [GTS721I23],그루브라임,2020  S/S,['남'],기타,상의,반팔 티셔츠,"['#로고', '#맨투맨', '#반팔티', '#오버사이즈', '#오버핏', '#티셔츠']",https://image.msscdn.net/images/goods_img/20200424/1420730/1420730_1_500.jpg,https://store.musinsa.com/app/product/detail/1420730/0,ALL,23.0
9,LMC THREE BEARS TEE white,엘엠씨,2020  S/S,['남'],흰색,상의,반팔 티셔츠,['#LMC쓰리베어티'],https://image.msscdn.net/images/goods_img/20200515/1449350/1449350_1_500.jpg,https://store.musinsa.com/app/product/detail/1449350/0,캐주얼,23.0
10,Young Premium Silket T-Shirts,엘무드,2020  S/S,['남'],민트,상의,반팔 티셔츠,"['#레이어드반팔', '#무지반팔', '#무지티', '#무지티셔츠', '#반팔', '#오버핏반팔', '#티셔츠']",https://image.msscdn.net/images/goods_img/20200331/1375522/1375522_2_500.png,https://store.musinsa.com/app/product/detail/1375522/0,포멀,23.0
11,Unisex 블루 로고 레터링 후드 티셔츠 (BO0741SG4P),빈폴 스포츠,2020  F/W,['여'],파란색,상의,후드 티셔츠,"['#져지ROUND셔츠긴팔', '#BO0741SG4P']",https://image.msscdn.net/images/goods_img/20200811/1544980/1544980_1_500.jpg,https://store.musinsa.com/app/product/detail/1544980/0,캐주얼,17.0
12,Unisex 머스터드 로고 레터링 후드 티셔츠 (BO0741SG4G),빈폴 스포츠,2020  F/W,['여'],머스타드,상의,후드 티셔츠,"['#져지ROUND셔츠긴팔', '#BO0741SG4G']",https://image.msscdn.net/images/goods_img/20200811/1544976/1544976_1_500.jpg,https://store.musinsa.com/app/product/detail/1544976/0,캐주얼,17.0
