id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
1,20S/S #0237 trabus paint jeans,페이탈리즘,2020  S/S,['남'],중청,바지,데님 팬츠,"['#데님', '#바지', '#와이드핏', '#페이탈리즘신상', '#페인트']",https://image.msscdn.net/images/goods_img/20200414/1403008/1403008_1_500.jpg,https://store.musinsa.com/app/product/detail/1403008/0,20.0,ALL
2,Rio / NewCrop2,피스워커,,['남'],데님,바지,데님 팬츠,"['#데님', '#중청진', '#진', '#청바지', '#크롭', '#크롭진']",https://image.msscdn.net/images/goods_img/20180219/718516/718516_7_500.jpg,https://store.musinsa.com/app/product/detail/718516/0,20.0,ALL
3,Mine worker ST Develop / NewCrop,피스워커,,['남'],데님,바지,데님 팬츠,"['#데님', '#마인워커', '#연청', '#워싱진', '#진', '#청', '#청바지']",https://image.msscdn.net/images/goods_img/20150712/226358/226358_14_500.jpg,https://store.musinsa.com/app/product/detail/226358/0,20.0,ALL
4,Bluish Medium Blue / New Stan,피스워커,2020  S/S,['남'],중청,바지,데님 팬츠,"['#데님', '#스탠다드', '#워싱진', '#중청', '#진', '#청']",https://image.msscdn.net/images/goods_img/20200226/1323090/1323090_1_500.jpg,https://store.musinsa.com/app/product/detail/1323090/0,20.0,ALL
5,Plant Manager2 / New Crop,피스워커,,['남'],데님,바지,데님 팬츠,"['#데님', '#진', '#청', '#청바지', '#크롭', '#크롭진']",https://image.msscdn.net/images/goods_img/20171019/655627/655627_9_500.jpg,https://store.musinsa.com/app/product/detail/655627/0,20.0,ALL
6,Adibreak Pant BLACK/WHITE,아디다스,2020  F/W,['여'],검정색,바지,트레이닝/조거 팬츠,"['#레트로팬츠', '#버튼팬츠', '#스웨트팬츠', '#아카이브팬츠', '#트랙팬츠', '#헤리티지팬츠']",https://image.msscdn.net/images/goods_img/20200806/1539028/1539028_1_500.jpg,https://store.musinsa.com/app/product/detail/1539028/0,20.0,캐주얼
7,1931 OBJECT JEANS [CROP STRAIGHT],브랜디드,2019  S/S,['남'],흰색,바지,데님 팬츠,"['#데님', '#스트레이트', '#와이드', '#진', '#청', '#청바지', '#크롭']",https://image.msscdn.net/images/goods_img/20190309/978464/978464_4_500.jpg,https://store.musinsa.com/app/product/detail/978464/0,20.0,ALL
8,Punk Town - MOD4 crop,모드나인,2019  F/W,['남'],데님,바지,데님 팬츠,"['#데님', '#워싱진', '#중청', '#청바지', '#크롭', '#펑크타운']",https://image.msscdn.net/images/goods_img/20190508/1037219/1037219_2_500.jpg,https://store.musinsa.com/app/product/detail/1037219/0,20.0,ALL
9,Ver.2 Classic Banding harfpants Shorts 2Package KHSP0427,다이클레즈,ALL,['남'],기타,바지,숏 팬츠,"['#반바지', '#밴딩팬츠', '#쇼츠', '#쇼츠세트', '#숏팬츠', '#패키지', '#하프팬츠']",https://image.msscdn.net/images/goods_img/20160616/371617/371617_4_500.jpg,https://store.musinsa.com/app/product/detail/371617/0,23.0,캐주얼
10,WIDE DENIM PANTS  (LIGHT BLUE),토피,2020  S/S,['남'],연청,바지,데님 팬츠,"['#데님팬츠', '#와이드', '#와이드데님', '#와이드청바지', '#와이드팬츠', '#청바지']",https://image.msscdn.net/images/goods_img/20180914/858911/858911_6_500.jpg,https://store.musinsa.com/app/product/detail/858911/0,20.0,캐주얼
11,블랙 남성 라인 포켓 조거 팬츠 (BO0721SG35),빈폴 스포츠,2020  F/W,['남'],검정색,바지,트레이닝/조거 팬츠,"['#바지단품', '#BO0721SG35']",https://image.msscdn.net/images/goods_img/20200811/1544953/1544953_1_500.jpg,https://store.musinsa.com/app/product/detail/1544953/0,20.0,캐주얼
12,그레이 남성 라인 포켓 조거 팬츠 (BO0721SG33),빈폴 스포츠,2020  F/W,['남'],회색,바지,트레이닝/조거 팬츠,"['#바지단품', '#BO0721SG33']",https://image.msscdn.net/images/goods_img/20200811/1544951/1544951_1_500.jpg,https://store.musinsa.com/app/product/detail/1544951/0,20.0,캐주얼
13,PINTUCK PNT BLACK/UTIBLK,아디다스,2020  F/W,['남'],검정색,바지,트레이닝/조거 팬츠,"['#스케이트보딩', '#스케이트보딩팬츠', '#아디다스스케이트보딩', '#핀턱트랙팬츠', '#핀턱팬츠']",https://image.msscdn.net/images/goods_img/20200807/1542036/1542036_1_500.jpg,https://store.musinsa.com/app/product/detail/1542036/0,20.0,캐주얼
14,PINTUCK PNT LEGRED/MINRED,아디다스,2020  F/W,['남'],딥레드,바지,트레이닝/조거 팬츠,"['#스케이트보딩', '#스케이트보딩팬츠', '#아디다스스케이트보딩', '#핀턱트랙팬츠', '#핀턱팬츠']",https://image.msscdn.net/images/goods_img/20200807/1542035/1542035_1_500.jpg,https://store.musinsa.com/app/product/detail/1542035/0,20.0,캐주얼
15,그린 남성 배색 셋업 조거 팬츠 (BO0721SG1M),빈폴 스포츠,2020  F/W,['남'],녹색,바지,트레이닝/조거 팬츠,"['#바지단품', '#BO0721SG1M']",https://image.msscdn.net/images/goods_img/20200729/1530948/1530948_2_500.jpg,https://store.musinsa.com/app/product/detail/1530948/0,20.0,캐주얼
16,블랙 남성 배색 셋업 조거 팬츠 (BO0721SG15),빈폴 스포츠,2020  F/W,['남'],검정색,바지,트레이닝/조거 팬츠,"['#바지단품', '#BO0721SG15']",https://image.msscdn.net/images/goods_img/20200729/1530947/1530947_2_500.jpg,https://store.musinsa.com/app/product/detail/1530947/0,20.0,캐주얼
17,[UNISEX] Triple Stitched Jogger Pants [GRAY BLUE],스컬프터,2020  F/W,['여'],다크 그레이,바지,트레이닝/조거 팬츠,"['#긴바지', '#남녀공용', '#남자조거팬츠', '#여자조거팬츠', '#유니섹스', '#조거', '#조거팬츠']",https://image.msscdn.net/images/goods_img/20200729/1531517/1531517_1_500.jpg,https://store.musinsa.com/app/product/detail/1531517/0,20.0,캐주얼
18,[UNISEX] Triple Stitched Jogger Pants [BLACK],스컬프터,2020  F/W,['여'],검정색,바지,트레이닝/조거 팬츠,"['#긴바지', '#남녀공용', '#남자조거팬츠', '#바지', '#여자조거팬츠', '#유니섹스', '#조거팬츠']",https://image.msscdn.net/images/goods_img/20200729/1531516/1531516_1_500.jpg,https://store.musinsa.com/app/product/detail/1531516/0,20.0,캐주얼
19,Minimal Straight Banding Slacks (Beige),틀영,2020  F/W,['남'],베이지색,바지,슈트 팬츠/슬랙스,"['#남자바지', '#남자슬랙스', '#미니멀', '#슬랙스', '#슬렉스', '#밴딩바지', '#밴딩슬랙스']",https://image.msscdn.net/images/goods_img/20200819/1556593/1556593_1_500.jpg,https://store.musinsa.com/app/product/detail/1556593/0,20.0,ALL
20,Minimal Straight Banding Slacks (Black),틀영,2020  F/W,['남'],검정색,바지,슈트 팬츠/슬랙스,"['#남자바지', '#미니멀', '#밴딩', '#밴딩슬랙스', '#슬랙스', '#남자슬랙스']",https://image.msscdn.net/images/goods_img/20200819/1556576/1556576_1_500.jpg,https://store.musinsa.com/app/product/detail/1556576/0,20.0,ALL
21,GL Tapered Crop Jeans Light Blue,가먼트레이블,ALL,['남'],연청,바지,데님 팬츠,"['#데님팬츠', '#스트레이트', '#워싱', '#일자', '#청바지', '#크롭', '#테이퍼드']",https://image.msscdn.net/images/goods_img/20200731/1533547/1533547_1_500.jpg,https://store.musinsa.com/app/product/detail/1533547/0,20.0,ALL
22,V232 NONE SPAN WIDE DENIM PANTS (ICE),브아빗,2020  S/S,['남'],스카이 블루,바지,데님 팬츠,"['#데님', '#돌청', '#아이스진', '#와이드', '#와이드데님', '#청바지']",https://image.msscdn.net/images/goods_img/20200730/1532288/1532288_1_500.jpg,https://store.musinsa.com/app/product/detail/1532288/0,20.0,ALL
23,V029 TWO TUCK WIDE SLACKS (BLACK),브아빗,2020  S/S,['남'],검정색,바지,슈트 팬츠/슬랙스,"['#슬랙스', '#와이드', '#와이드슬랙스', '#와이드팬츠', '#투턱슬랙스', '#SLACKS']",https://image.msscdn.net/images/goods_img/20200730/1532259/1532259_3_500.jpg,https://store.musinsa.com/app/product/detail/1532259/0,20.0,ALL
24,V029 TWO TUCK WIDE SLACKS (BEIGE),브아빗,2020  S/S,['남'],베이지색,바지,슈트 팬츠/슬랙스,"['#슬랙스', '#와이드', '#와이드슬랙스', '#와이드팬츠', '#투턱슬랙스', '#SLACKS']",https://image.msscdn.net/images/goods_img/20200730/1532258/1532258_2_500.jpg,https://store.musinsa.com/app/product/detail/1532258/0,20.0,ALL
25,Front Edge Medium Blue / New Stan,피스워커,2020  S/S,['남'],중청,바지,데님 팬츠,"['#데님', '#디테일데님', '#워싱진', '#절개', '#청', '#피스워커신상']",https://image.msscdn.net/images/goods_img/20200623/1494144/1494144_4_500.jpg,https://store.musinsa.com/app/product/detail/1494144/0,20.0,ALL
26,V280 PROUD CROP SLACKS (LIGHT BEIGE),브아빗,2020  S/S,['남'],베이지색,바지,슈트 팬츠/슬랙스,"['#슬랙스', '#정장바지', '#크롭', '#크롭슬랙스', '#크롭팬츠', '#팬츠']",https://image.msscdn.net/images/goods_img/20200511/1438630/1438630_1_500.jpg,https://store.musinsa.com/app/product/detail/1438630/0,20.0,ALL
27,V280 PROUD CROP SLACKS (KHAKI),브아빗,2020  S/S,['남'],카키,바지,슈트 팬츠/슬랙스,"['#슬랙스', '#정장바지', '#크롭', '#크롭슬랙스', '#크롭팬츠', '#팬츠']",https://image.msscdn.net/images/goods_img/20200511/1438627/1438627_1_500.jpg,https://store.musinsa.com/app/product/detail/1438627/0,20.0,ALL
28,GL Pajamas Linen Pants - Blue,가먼트레이블,2020  S/S,['남'],스트라이프,바지,코튼 팬츠,"['#리넨', '#면', '#밴딩', '#스트라이프', '#스판', '#와이드', '#일자', '#크롭']",https://image.msscdn.net/images/goods_img/20200507/1434834/1434834_1_500.jpg,https://store.musinsa.com/app/product/detail/1434834/0,20.0,ALL
29,썸머 쿨링 린넨 팬츠 베이지,굿라이프웍스,2020  S/S,['남'],베이지색,바지,코튼 팬츠,"['#리넨', '#린넨', '#린넨팬츠', '#마바지']",https://image.msscdn.net/images/goods_img/20200428/1425651/1425651_2_500.jpg,https://store.musinsa.com/app/product/detail/1425651/0,20.0,캐주얼
30,썸머 쿨링 린넨 팬츠 카키,굿라이프웍스,2020  S/S,['남'],카키,바지,코튼 팬츠,"['#리넨', '#린넨', '#린넨팬츠', '#마바지']",https://image.msscdn.net/images/goods_img/20200428/1425649/1425649_2_500.jpg,https://store.musinsa.com/app/product/detail/1425649/0,20.0,캐주얼
